Ticket_ID,Fecha_Entrada,Tipo,Precio_Entrada,Fecha_Salida,Precio_Salida,Resultado_USD,Balance_Final,Razon_Salida,Contexto_Noticias
1,2026-05-14 15:22:53.701234,COMPRA,102.1,2026-05-14 15:29:04.754108,101.99,-100.0,9900.0,STOP_LOSS,ALCISTA
2,2026-05-14 20:34:41.217095,COMPRA,102.24,2026-05-14 20:35:42.850688,102.35,99.0,9999.0,TAKE_PROFIT,ALCISTA
1,2026-05-17 21:59:43.151767,CALL (COMPRA),103.28,2026-05-17 22:03:47.937145,103.21,-100.0,9900.0,SL,ALCISTA
1,2026-05-17 22:07:03.550292,CALL (SCALP),103.3,2026-05-17 22:07:34.516933,103.26,-100.0,9900.0,MICRO_SL,ALCISTA
2,2026-05-17 22:10:56.516641,CALL (COMPRA),103.21,2026-05-18 15:56:26.530931,103.14,-99.0,9801.0,SL,ALCISTA
2,2026-05-18 15:57:08.867840,CALL (SCALP),102.05,2026-05-18 15:58:13.774523,102.09,99.0,9999.0,MICRO_TP,ALCISTA
3,2026-05-18 16:08:11.549226,CALL (SCALP),102.43,2026-05-18 16:08:43.012944,102.5,99.99,10098.99,MICRO_TP,ALCISTA
4,2026-05-18 18:43:52.482268,CALL (SCALP),102.45,2026-05-18 18:44:23.465959,102.43,-100.99,9998.0,MICRO_SL,ALCISTA
5,2026-05-18 18:49:08.896819,CALL (SCALP),102.44,2026-05-18 18:49:39.914316,102.46,99.98,10097.98,MICRO_TP,ALCISTA
6,2026-05-18 18:50:10.871176,CALL (SCALP),102.47,2026-05-18 18:52:14.523385,102.46,-100.98,9997.0,MICRO_SL,ALCISTA
